所属模块,用例标题,前置条件,步骤,预期,用例类型,适用阶段
/客户管理,验证输入特殊字符编辑客户姓名,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击客户信息管理
2.选择任意一个客户点击编辑
3.输入客户名称:?$$
4.点击保存
","1.成功跳转至客户信息管理页面
2.弹出编辑客户信息框
3.弹出提示信息
4.保存失败
",功能测试,版本验证阶段
/客户管理,验证输入错误电话进行编辑,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击客户信息管理
2.选择任意一个客户点击编辑
3.输入电话:1234
4.点击保存
","1.成功跳转至客户信息管理页面
2.弹出编辑客户信息框
3.弹出提示信息
4.保存失败
",功能测试,版本验证阶段
/客户管理,验证不输入创建时间进行编辑,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击客户信息管理
2.选择任意一个客户点击编辑
3.创建时间:
4.点击保存
","1.成功跳转至客户信息管理页面
2.弹出编辑客户信息框
3.弹出提示信息
4.保存失败
",功能测试,版本验证阶段
/客户管理,验证清空全部输入框进行编辑,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击客户信息管理
2.选择任意一个客户点击编辑
3.清空输入框
4.点击保存
","1.成功跳转至客户信息管理页面
2.弹出编辑客户信息框
3.成功清空
4.保存失败
",功能测试,版本验证阶段
/客户管理,验证输入已有客户名称进行编辑,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击客户信息管理
2.选择任意一个客户点击编辑
3.输入客户名称
4.点击保存
","1.成功跳转至客户信息管理页面
2.弹出编辑客户信息框
3.输入成功
4.保存成功
",功能测试,版本验证阶段
/客户管理,验证只输入客户名称进行编辑,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击客户信息管理
2.选择任意一个客户点击编辑
3.输入客户名称
4.清空其他输入框
5.点击保存
","1.成功跳转至客户信息管理页面
2.弹出编辑客户信息框
3.输入成功
4.成功清空
4.保存失败并弹出提示框
",功能测试,版本验证阶段
/客户管理,验证不选择客户性别进行编辑,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击客户信息管理
2.选择任意一个客户点击编辑
3.输入客户名称
4.性别:未知
5.点击保存
","1.成功跳转至客户信息管理页面
2.弹出编辑客户信息框
3.输入成功
4.选择成功
4.保存成功
",功能测试,版本验证阶段
/客户管理,验证输入正常数据进行编辑,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击客户信息管理
2.选择任一客户点击编辑 
3.输入客户名称:张三
4.选择性别:男
5.年龄:28
6.电话:13001300006
7.邮箱:123456@qq.com
8.qq:123456
9.微信:13001300006
10.点击保存","1.成功跳转至客户信息页面
2.弹出编辑客户框
3.输入成功
4.选择成功
5.输入成功
6.输入成功
7.输入成功
8.输入成功
9.输入成功
10.保存成功",功能测试,版本验证阶段
/客户管理,验证删除客户信息是否有友好提示,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户信息管理]
3.选择一行点击[删除]","1.成功进入
2.成功进入
3.出现友好提示确认删除",功能测试,版本验证阶段
/客户管理,验证删除客户信息是否成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户信息管理]
3.选择一行点击[删除]","1.成功进入
2.成功进入
3.点击[确认],成功删除",功能测试,版本验证阶段
/客户管理,验证点击刷新页面信息是否更新,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户信息管理]
3.点击[刷新]","1.成功进入
2.成功进入
3.点击[刷新],刷新成功",功能测试,版本验证阶段
/客户管理,验证点击客户移交是否出现友好提示,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户信息管理]
3.点击[客户移交]","1.成功进入
2.成功进入
3.出现友好提示是否确认移交",功能测试,版本验证阶段
/客户管理,验证点击客户移交是否成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户信息管理]
3.选择非第一次接触客户点击[客户移交]
4.选择新市场专员
5.点击[移交]","1.成功进入
2.成功进入
3.成功进入移交对话框
4.成功选择
5.移交成功,点击[移交记录]查看信息正确",功能测试,版本验证阶段
/客户管理,验证点击客户移交输入不存在的被移交客户是否成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户信息管理]
3.选择非第一次接触客户点击[客户移交]
4.输入不存在的被移交客户:客户000
5.选择新市场专员
6.点击[移交]","1.成功进入
2.成功进入
3.成功进入移交对话框
4.成功输入
5.成功选择
6.友好提示客户不存在",功能测试,版本验证阶段
/客户管理,验证点击客户移交移交原因输入纯数字是否成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户信息管理]
3.选择非第一次接触客户点击[客户移交]
4.输入移交原因:1213
5.选择新市场专员
6.点击[移交]","1.成功进入
2.成功进入
3.成功进入移交对话框
4.成功输入
5.成功选择
6.友好提示移交原因不正确",功能测试,版本验证阶段
/客户管理,验证点击客户移交移交原因输入特殊字符是否成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户信息管理]
3.选择非第一次接触客户点击[客户移交]
4.输入移交原因:#%*'
5.选择新市场专员
6.点击[移交]","1.成功进入
2.成功进入
3.成功进入移交对话框
4.成功输入
5.成功选择
6.友好提示移交原因不正确",功能测试,版本验证阶段
/客户管理,验证点击放入资源池是否出现友好提示,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户信息管理]
3.选择一行点击[放入资源池]","1.成功进入
2.成功进入
3.成功出现友好提示",功能测试,版本验证阶段
/客户管理,验证点击放入资源池是否成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户信息管理]
3.选择一行点击[放入资源池]
4.点击[确定]
5.点击[客户资源管理池]","1.成功进入
2.成功进入
3.成功出现友好提示
4.客户信息管理页面减少一条
5.客户资源池管理相应增加客户",功能测试,版本验证阶段
/客户管理,验证点击升为正式客户是否出现相应提示,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户信息管理]
3.选择一行点击[升为正式客户]","1.成功进入
2.成功进入
3.成功出现友好提示",功能测试,版本验证阶段
/客户管理,验证点击升为正式客户是否成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户信息管理]
3.选择一行点击[升为正式客户]
4.点击[确定]","1.成功进入
2.成功进入
3.成功出现友好提示
4.客户状态变为正式客户",功能测试,版本验证阶段
/客户管理,验证点击客户状态比例图图与数据信息是否一致,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户信息管理]
3.点击[客户状态比例图]","1.成功进入
2.成功进入
3.图与数据一致",功能测试,版本验证阶段
/客户管理,验证关键字状态默认空能否查询出结果,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户信息管理]
3.点击[查询]","1.成功进入
2.成功进入
3.查询出全部结果",功能测试,版本验证阶段
/客户管理,验证关键字输入正确能否查询出结果,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户信息管理]
3.输入关键字:客户3
4.点击[查询]","1.成功进入
2.成功进入
3.成功输入
4.成功查出结果",功能测试,版本验证阶段
/客户管理,验证关键字输入特殊字符'能否查询出结果,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户信息管理]
3.输入关键字:'
4.点击[查询]","1.成功进入
2.成功进入
3.成功输入
4.无结果",功能测试,版本验证阶段
/客户管理,验证选择相应状态能否查询出对应状态得客户信息,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户信息管理]
3.状态选择:潜在客户
4.点击[查询]","1.成功进入
2.成功进入
3.成功输入
4.成功查询出结果",功能测试,版本验证阶段
/客户管理,验证高级搜索选择相应条件能否查询出对应状态得客户信息,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户信息管理]
3.点击[高级搜索]
4.选择[创建人]","1.成功进入
2.成功进入
3.成功输入
4.成功查询对应出结果",功能测试,版本验证阶段
/客户管理,验证点击清空搜索能否清空输入框信息,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户信息管理]
3.输入关键字:客户3
4.点击[清空搜索]","1.成功进入
2.成功进入
3.成功输入
4.输入框成功清空",功能测试,版本验证阶段
/客户管理,验证点击客户资源池管理进入页面显示是否正确,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户资源池管理]","1.成功进入
2.成功进入,页面显示正确",功能测试,版本验证阶段
/客户管理,验证点击删除是否出现友好提示,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户资源池管理]
3.选择一行点击[删除]","1.成功进入
2.成功进入
3.出现友好提示是否确认删除",功能测试,版本验证阶段
/客户管理,验证点击删除是否成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户资源池管理]
3.选择一行点击[删除]
4.点击[确定]
5.点击[刷新]","1.成功进入
2.成功进入
3.出现友好提示是否确认删除
4.删除成功
5.已删除信息不存在",功能测试,版本验证阶段
/客户管理,验证关键字空能否查询出结果,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户资源池管理]
3.点击[查询]","1.成功进入
2.成功进入
3.成功查询出所有结果",功能测试,版本验证阶段
/客户管理,验证关键字输入正确能否查询出结果,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户资源池管理]
3.输入关键字:客户3
4.点击[查询]","1.成功进入
2.成功进入
3.成功输入
4.成功查询出所有结果",功能测试,版本验证阶段
/客户管理,验证关键字输入特殊字符'能否查询出结果,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户资源池管理]
3.输入关键字:'
4.点击[查询]","1.成功进入
2.成功进入
3.成功输入
4.无查询结果",功能测试,版本验证阶段
/客户管理,验证高级搜索选择相应条件能否查询出对应状态得客户信息,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户资源池管理]
3.点击[高级搜索]
4.选择营销人员
5.点击[确认]","1.成功进入
2.成功进入
3.成功进入
4.成功选择
5.成功搜索出对应结果",功能测试,版本验证阶段
/客户管理,验证点击客户跟进历史进入页面是否显示正确,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]","1.成功进入
2.成功进入,页面显示正确",功能测试,版本验证阶段
/客户管理,验证点击添加页面是否显示正确,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]","1.成功进入
2.成功进入,页面显示正确
3.成功进入,页面显示正确",功能测试,版本验证阶段
/客户管理,验证正确的数据添加是否成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:收购橘子
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加成功",功能测试,版本验证阶段
/客户管理,验证客户名称不选能否添加成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:不选
跟进主题:收购橘子
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",功能测试,版本验证阶段
/客户管理,验证跟进主题输入纯数字能否添加成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:222
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",功能测试,版本验证阶段
/客户管理,验证跟进主题输入特殊字符'#*%能否添加成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:'#*%
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",功能测试,版本验证阶段
/客户管理,验证跟进主题输入空格能否添加成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:空格
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",功能测试,版本验证阶段
/客户管理,验证跟进主题为空能否添加成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:空
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加成功",功能测试,版本验证阶段
/客户管理,验证跟进时间选择未来能否添加成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:采购苹果
跟进时间:2020-02-20
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",功能测试,版本验证阶段
/客户管理,验证跟进时间为空能否添加成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:采购苹果
跟进时间:空
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",功能测试,版本验证阶段
/客户管理,验证跟进效果为空能否添加成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:采购苹果
跟进时间:2020-02-09
跟进效果:空
跟进员工:下拉选择
跟进方式:下拉选择
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加成功",功能测试,版本验证阶段
/客户管理,验证跟进员工为空能否添加成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:采购苹果
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:空
跟进方式:下拉选择
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",功能测试,版本验证阶段
/客户管理,验证跟进方式为空能否添加成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:采购苹果
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:空格
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",功能测试,版本验证阶段
/客户管理,验证备注输入纯数字能否添加成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:采购苹果
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:333
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",功能测试,版本验证阶段
/客户管理,验证备注输入特殊字符#%*'能否添加成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:采购苹果
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:#%*'
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",功能测试,版本验证阶段
/客户管理,验证备注输入空格能否添加成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:采购苹果
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:空格
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加失败",功能测试,版本验证阶段
/客户管理,验证备注为空能否添加成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[添加]
4.输入信息
客户名称:下拉选择
跟进主题:采购苹果
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:空
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加成功",功能测试,版本验证阶段
/客户管理,验证点击编辑进入页面显示是否正确,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[编辑]","1.成功进入
2.成功进入
3.成功进入,页面显示正确",功能测试,版本验证阶段
/客户管理,验证编辑用户信息是否成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[编辑]
4.输入信息
客户名称:下拉选择
跟进主题:采购李子
跟进时间:2020-02-09
跟进效果:下拉选择
跟进员工:下拉选择
跟进方式:下拉选择
备注:谈合同
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.编辑成功",功能测试,版本验证阶段
/客户管理,验证点击删除能否出现友好提示,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.选择一行点击[删除]","1.成功进入
2.成功进入
3.出现友好提示是否确认删除",功能测试,版本验证阶段
/客户管理,验证点击点击删除能删除信息成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.选择一行点击[删除]
4.点击[确定]","1.成功进入
2.成功进入
3.出现友好提示是否确认删除
4.删除成功,已删除信息不存在",功能测试,版本验证阶段
/客户管理,验证关键字跟进效果默认空能否查询出结果,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[查询]","1.成功进入
2.成功进入
3.查询出全部结果",功能测试,版本验证阶段
/客户管理,验证关键字输入正确能否查询出结果,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.输入关键字:客户2
4.点击[查询]","1.成功进入
2.成功进入
3.成功输入
4.查询出相应结果",功能测试,版本验证阶段
/客户管理,验证关键字输入特殊字符'能否查询出结果,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.输入关键字:'
4.点击[查询]","1.成功进入
2.成功进入
3.成功输入
4.无查询结果",功能测试,版本验证阶段
/客户管理,验证选择相应跟进效果能否查询出对应的客户信息,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.跟进效果:下拉选择
4.点击[查询]","1.成功进入
2.成功进入
3.成功输入
4.查询出相应结果",功能测试,版本验证阶段
/客户管理,验证高级搜索选择相应条件能否查询出对应的客户信息,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户跟进历史]
3.点击[高级查询查询]
4.跟进员工:下拉选择
5.点击[确认]","1.成功进入
2.成功进入
3.成功输入
4.成功选择
5.查询出相应结果",功能测试,版本验证阶段
/客户管理,验证点击客户移交记录是否能成功进入页面显示正确,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户移交记录]","1.成功进入
2.成功进入,页面显示正确",功能测试,版本验证阶段
/客户管理,验证点击添加页面是否显示正确,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户移交记录]
3.点击[添加]","1.成功进入
2.成功进入
3.成功进入,页面显示正确",功能测试,版本验证阶段
/客户管理,验证正确的数据添加是否成功,"1.在谷歌浏览器输入localhost:8088
2.登录系统","1.点击[客户管理]
2.点击[客户移交记录]
3.点击[添加]
4.输入信息
移交原因:其他
移交时间:2020-02-09
被移交客户:哈哈
老市场专员:下拉选择
新市场专员:下拉选择
办理移交人员:下拉选择
5.点击[保存]","1.成功进入
2.成功进入
3.成功进入
4.成功输入
5.添加成功",功能测试,版本验证阶段
